Date,Away,Awayscore,Home,Homescore
06-18-2023,Pittsburgh Pirates,2,Milwaukee Brewers,5
06-18-2023,Detroit Tigers,6,Minnesota Twins,4
06-18-2023,St. Louis Cardinals,8,New York Mets,7
06-18-2023,Philadelphia Phillies,3,Oakland Athletics,2
06-18-2023,Tampa Bay Rays,4,San Diego Padres,5
06-18-2023,Chicago White Sox,1,Seattle Mariners,5
06-18-2023,Toronto Blue Jays,7,Texas Rangers,11
06-18-2023,Miami Marlins,4,Washington Nationals,2
06-19-2023,Texas Rangers,5,Chicago White Sox,2
06-19-2023,Colorado Rockies,4,Cincinnati Reds,5
06-19-2023,Kansas City Royals,4,Detroit Tigers,6
06-19-2023,New York Mets,11,Houston Astros,1
06-19-2023,Toronto Blue Jays,0,Miami Marlins,11
06-19-2023,Arizona D'Backs,9,Milwaukee Brewers,1
06-19-2023,Boston Red Sox,9,Minnesota Twins,3
06-19-2023,Chicago Cubs,8,Pittsburgh Pirates,0
06-19-2023,San Diego Padres,4,San Francisco Giants,7
06-19-2023,St. Louis Cardinals,8,Washington Nationals,6
06-20-2023,Los Angeles Dodgers,2,Los Angeles Angels,0
06-20-2023,Texas Rangers,6,Chicago White Sox,7
06-20-2023,Colorado Rockies,6,Cincinnati Reds,8
06-20-2023,Oakland Athletics,2,Cleveland Guardians,3
06-20-2023,Kansas City Royals,1,Detroit Tigers,0
06-20-2023,New York Mets,2,Houston Astros,4
06-20-2023,Toronto Blue Jays,2,Miami Marlins,0
06-20-2023,Arizona D'Backs,5,Milwaukee Brewers,7
06-20-2023,Boston Red Sox,10,Minnesota Twins,4
06-20-2023,Seattle Mariners,1,New York Yankees,3
06-20-2023,Atlanta Braves,4,Philadelphia Phillies,2
06-20-2023,Chicago Cubs,4,Pittsburgh Pirates,0
06-20-2023,San Diego Padres,3,San Francisco Giants,4
06-20-2023,Baltimore Orioles,8,Tampa Bay Rays,6
06-20-2023,St. Louis Cardinals,9,Washington Nationals,3
06-21-2023,Los Angeles Dodgers,2,Los Angeles Angels,0
06-21-2023,Texas Rangers,6,Chicago White Sox,3
06-21-2023,Colorado Rockies,3,Cincinnati Reds,5
06-21-2023,Oakland Athletics,6,Cleveland Guardians,7
06-21-2023,Kansas City Royals,4,Detroit Tigers,9
06-21-2023,New York Mets,8,Houston Astros,10
06-21-2023,Toronto Blue Jays,6,Miami Marlins,3
06-21-2023,Arizona D'Backs,5,Milwaukee Brewers,1
06-21-2023,Boston Red Sox,4,Minnesota Twins,5
06-21-2023,Seattle Mariners,2,New York Yankees,4
06-21-2023,Chicago Cubs,8,Pittsburgh Pirates,3
06-21-2023,San Diego Padres,2,San Francisco Giants,4
06-21-2023,Baltimore Orioles,2,Tampa Bay Rays,7
06-21-2023,St. Louis Cardinals,0,Washington Nationals,3
06-22-2023,Oakland Athletics,1,Cleveland Guardians,6
06-22-2023,Pittsburgh Pirates,4,Miami Marlins,6
06-22-2023,Boston Red Sox,0,Minnesota Twins,6
06-22-2023,Seattle Mariners,10,New York Yankees,2
06-22-2023,Atlanta Braves,5,Philadelphia Phillies,1
06-22-2023,San Diego Padres,10,San Francisco Giants,0
06-22-2023,Kansas City Royals,6,Tampa Bay Rays,5
06-22-2023,Arizona D'Backs,5,Washington Nationals,3
06-23-2023,Seattle Mariners,13,Baltimore Orioles,1
06-23-2023,Boston Red Sox,3,Chicago White Sox,1
06-23-2023,Atlanta Braves,10,Cincinnati Reds,11
06-23-2023,Milwaukee Brewers,7,Cleveland Guardians,1
06-23-2023,Los Angeles Angels,4,Colorado Rockies,7
06-23-2023,Minnesota Twins,4,Detroit Tigers,1
06-23-2023,Houston Astros,2,Los Angeles Dodgers,3
06-23-2023,Pittsburgh Pirates,3,Miami Marlins,1
06-23-2023,Texas Rangers,4,New York Yankees,2
06-23-2023,New York Mets,1,Philadelphia Phillies,5
06-23-2023,Washington Nationals,3,San Diego Padres,13
06-23-2023,Arizona D'Backs,5,San Francisco Giants,8
06-23-2023,Kansas City Royals,3,Tampa Bay Rays,11
06-23-2023,Oakland Athletics,5,Toronto Blue Jays,4
06-24-2023,Seattle Mariners,4,Baltimore Orioles,6
06-24-2023,Boston Red Sox,4,Chicago White Sox,5
06-24-2023,Atlanta Braves,7,Cincinnati Reds,6
06-24-2023,Milwaukee Brewers,2,Cleveland Guardians,4
06-24-2023,Los Angeles Angels,25,Colorado Rockies,1
06-24-2023,Minnesota Twins,2,Detroit Tigers,3
06-24-2023,Houston Astros,7,Los Angeles Dodgers,8
06-24-2023,Pittsburgh Pirates,3,Miami Marlins,4
06-24-2023,Texas Rangers,0,New York Yankees,1
06-24-2023,New York Mets,4,Philadelphia Phillies,2
06-24-2023,Washington Nationals,2,San Diego Padres,0
06-24-2023,Arizona D'Backs,6,San Francisco Giants,7
06-24-2023,Chicago Cubs,9,St. Louis Cardinals,1
06-24-2023,Kansas City Royals,9,Tampa Bay Rays,4
06-24-2023,Oakland Athletics,3,Toronto Blue Jays,7
06-25-2023,Seattle Mariners,2,Baltimore Orioles,3
06-25-2023,Boston Red Sox,1,Chicago White Sox,4
06-25-2023,Atlanta Braves,7,Cincinnati Reds,6
06-25-2023,Milwaukee Brewers,5,Cleveland Guardians,4
06-25-2023,Los Angeles Angels,3,Colorado Rockies,4
06-25-2023,Minnesota Twins,6,Detroit Tigers,3
06-25-2023,Houston Astros,6,Los Angeles Dodgers,5
06-25-2023,Pittsburgh Pirates,0,Miami Marlins,2
06-25-2023,Texas Rangers,3,New York Yankees,5
06-25-2023,New York Mets,6,Philadelphia Phillies,7
06-25-2023,Washington Nationals,8,San Diego Padres,3
06-25-2023,Arizona D'Backs,5,San Francisco Giants,2
06-25-2023,Chicago Cubs,5,St. Louis Cardinals,7
06-25-2023,Kansas City Royals,1,Tampa Bay Rays,3
06-25-2023,Oakland Athletics,1,Toronto Blue Jays,12
06-26-2023,Chicago White Sox,1,Los Angeles Angels,2
06-26-2023,Minnesota Twins,1,Atlanta Braves,4
06-26-2023,Cincinnati Reds,3,Baltimore Orioles,10
06-26-2023,Milwaukee Brewers,2,New York Mets,1
06-26-2023,Washington Nationals,4,Seattle Mariners,8
06-26-2023,Detroit Tigers,7,Texas Rangers,2
06-27-2023,Chicago White Sox,2,Los Angeles Angels,4
06-27-2023,Tampa Bay Rays,4,Arizona D'Backs,8
06-27-2023,Minnesota Twins,2,Atlanta Braves,6
06-27-2023,Cincinnati Reds,3,Baltimore Orioles,1
06-27-2023,Miami Marlins,10,Boston Red Sox,1
06-27-2023,Philadelphia Phillies,5,Chicago Cubs,1
06-27-2023,Los Angeles Dodgers,5,Colorado Rockies,0
06-27-2023,Cleveland Guardians,2,Kansas City Royals,1
06-27-2023,Milwaukee Brewers,2,New York Mets,7
06-27-2023,New York Yankees,1,Oakland Athletics,2
06-27-2023,San Diego Padres,4,Pittsburgh Pirates,9
06-27-2023,Washington Nationals,7,Seattle Mariners,4
06-27-2023,Houston Astros,2,St. Louis Cardinals,4
06-27-2023,Detroit Tigers,3,Texas Rangers,8
06-27-2023,San Francisco Giants,3,Toronto Blue Jays,0
06-28-2023,Chicago White Sox,11,Los Angeles Angels,5
06-28-2023,Tampa Bay Rays,3,Arizona D'Backs,2
06-28-2023,Minnesota Twins,0,Atlanta Braves,3
06-28-2023,Cincinnati Reds,11,Baltimore Orioles,7
06-28-2023,Miami Marlins,6,Boston Red Sox,2
06-28-2023,Philadelphia Phillies,8,Chicago Cubs,5
06-28-2023,Los Angeles Dodgers,8,Colorado Rockies,9
06-28-2023,Cleveland Guardians,14,Kansas City Royals,1
06-28-2023,Milwaukee Brewers,5,New York Mets,2
06-28-2023,New York Yankees,11,Oakland Athletics,0
06-28-2023,San Diego Padres,1,Pittsburgh Pirates,7
06-28-2023,Washington Nationals,4,Seattle Mariners,1
06-28-2023,Houston Astros,10,St. Louis Cardinals,7
06-28-2023,Detroit Tigers,2,Texas Rangers,10
06-28-2023,San Francisco Giants,1,Toronto Blue Jays,6
06-29-2023,Chicago White Sox,9,Los Angeles Angels,7
06-29-2023,Tampa Bay Rays,6,Arizona D'Backs,1
06-29-2023,Miami Marlins,2,Boston Red Sox,0
06-29-2023,Philadelphia Phillies,3,Chicago Cubs,1
06-29-2023,Los Angeles Dodgers,14,Colorado Rockies,3
06-29-2023,Cleveland Guardians,3,Kansas City Royals,4
06-29-2023,Milwaukee Brewers,3,New York Mets,2
06-29-2023,New York Yankees,10,Oakland Athletics,4
06-29-2023,San Diego Padres,4,Pittsburgh Pirates,5
06-29-2023,Houston Astros,14,St. Louis Cardinals,0
06-29-2023,Detroit Tigers,8,Texas Rangers,5
06-29-2023,San Francisco Giants,1,Toronto Blue Jays,2
06-30-2023,Arizona D'Backs,6,Los Angeles Angels,2
06-30-2023,Miami Marlins,4,Atlanta Braves,16
06-30-2023,Minnesota Twins,8,Baltimore Orioles,1
06-30-2023,Cleveland Guardians,1,Chicago Cubs,10
06-30-2023,San Diego Padres,5,Cincinnati Reds,7
06-30-2023,Detroit Tigers,5,Colorado Rockies,8
06-30-2023,Los Angeles Dodgers,9,Kansas City Royals,3
06-30-2023,San Francisco Giants,5,New York Mets,4
06-30-2023,Chicago White Sox,4,Oakland Athletics,7
06-30-2023,Washington Nationals,2,Philadelphia Phillies,1
06-30-2023,Milwaukee Brewers,7,Pittsburgh Pirates,8
06-30-2023,Tampa Bay Rays,15,Seattle Mariners,4
06-30-2023,Houston Astros,5,Texas Rangers,3
06-30-2023,Boston Red Sox,5,Toronto Blue Jays,0
07-01-2023,Arizona D'Backs,3,Los Angeles Angels,1
07-01-2023,Miami Marlins,0,Atlanta Braves,7
07-01-2023,Minnesota Twins,1,Baltimore Orioles,0
07-01-2023,Cleveland Guardians,6,Chicago Cubs,0
07-01-2023,San Diego Padres,12,Cincinnati Reds,5
07-01-2023,Detroit Tigers,4,Colorado Rockies,2
07-01-2023,Los Angeles Dodgers,4,Kansas City Royals,6
07-01-2023,San Francisco Giants,1,New York Mets,4
07-01-2023,Chicago White Sox,6,Oakland Athletics,7
07-01-2023,Washington Nationals,4,Philadelphia Phillies,19
07-01-2023,Milwaukee Brewers,11,Pittsburgh Pirates,8
07-01-2023,Tampa Bay Rays,3,Seattle Mariners,8
07-01-2023,New York Yankees,4,St. Louis Cardinals,11
07-01-2023,New York Yankees,6,St. Louis Cardinals,2
07-01-2023,Houston Astros,2,Texas Rangers,5
07-01-2023,Boston Red Sox,7,Toronto Blue Jays,6
07-02-2023,Arizona D'Backs,2,Los Angeles Angels,5
07-02-2023,Miami Marlins,3,Atlanta Braves,6
07-02-2023,Minnesota Twins,1,Baltimore Orioles,2
07-02-2023,Cleveland Guardians,8,Chicago Cubs,6
07-02-2023,San Diego Padres,3,Cincinnati Reds,4
07-02-2023,Detroit Tigers,14,Colorado Rockies,9
07-02-2023,Los Angeles Dodgers,1,Kansas City Royals,9
07-02-2023,San Francisco Giants,4,New York Mets,8
07-02-2023,Chicago White Sox,8,Oakland Athletics,7
07-02-2023,Washington Nationals,5,Philadelphia Phillies,4
07-02-2023,Milwaukee Brewers,6,Pittsburgh Pirates,3
07-02-2023,Tampa Bay Rays,6,Seattle Mariners,7
07-02-2023,New York Yankees,1,St. Louis Cardinals,5
07-02-2023,Houston Astros,5,Texas Rangers,3
07-02-2023,Boston Red Sox,5,Toronto Blue Jays,4
07-03-2023,Atlanta Braves,4,Cleveland Guardians,2
07-03-2023,Pittsburgh Pirates,2,Los Angeles Dodgers,5
07-03-2023,St. Louis Cardinals,4,Miami Marlins,5
07-03-2023,Chicago Cubs,6,Milwaukee Brewers,8
07-03-2023,Kansas City Royals,4,Minnesota Twins,8
07-03-2023,Baltimore Orioles,3,New York Yankees,6
07-03-2023,Los Angeles Angels,3,San Diego Padres,10
07-03-2023,Seattle Mariners,6,San Francisco Giants,5
07-03-2023,Houston Astros,12,Texas Rangers,11
07-03-2023,Cincinnati Reds,3,Washington Nationals,2
07-04-2023,New York Mets,8,Arizona D'Backs,5
07-04-2023,Texas Rangers,6,Boston Red Sox,2
07-04-2023,Toronto Blue Jays,4,Chicago White Sox,3
07-04-2023,Atlanta Braves,5,Cleveland Guardians,6
07-04-2023,Oakland Athletics,1,Detroit Tigers,0
07-04-2023,Colorado Rockies,1,Houston Astros,4
07-04-2023,Pittsburgh Pirates,9,Los Angeles Dodgers,7
07-04-2023,St. Louis Cardinals,2,Miami Marlins,15
07-04-2023,Chicago Cubs,7,Milwaukee Brewers,6
07-04-2023,Kansas City Royals,3,Minnesota Twins,9
07-04-2023,Baltimore Orioles,4,New York Yankees,8
07-04-2023,Los Angeles Angels,5,San Diego Padres,8
07-04-2023,Seattle Mariners,6,San Francisco Giants,0
07-04-2023,Philadelphia Phillies,3,Tampa Bay Rays,1
07-04-2023,Cincinnati Reds,8,Washington Nationals,4
07-05-2023,New York Mets,2,Arizona D'Backs,1
07-05-2023,Texas Rangers,2,Boston Red Sox,4
07-05-2023,Atlanta Braves,8,Cleveland Guardians,1
07-05-2023,Oakland Athletics,12,Detroit Tigers,3
07-05-2023,Colorado Rockies,4,Houston Astros,6
07-05-2023,Pittsburgh Pirates,4,Los Angeles Dodgers,6
07-05-2023,St. Louis Cardinals,9,Miami Marlins,10
07-05-2023,Chicago Cubs,4,Milwaukee Brewers,3
07-05-2023,Kansas City Royals,0,Minnesota Twins,5
07-05-2023,Baltimore Orioles,6,New York Yankees,3
07-05-2023,Los Angeles Angels,3,San Diego Padres,5
07-05-2023,Seattle Mariners,0,San Francisco Giants,2
07-05-2023,Philadelphia Phillies,8,Tampa Bay Rays,4
07-05-2023,Cincinnati Reds,9,Washington Nationals,2
07-06-2023,New York Mets,9,Arizona D'Backs,0
07-06-2023,Texas Rangers,6,Boston Red Sox,10
07-06-2023,Toronto Blue Jays,6,Chicago White Sox,2
07-06-2023,Toronto Blue Jays,5,Chicago White Sox,4
07-06-2023,Kansas City Royals,1,Cleveland Guardians,6
07-06-2023,Oakland Athletics,0,Detroit Tigers,9
07-06-2023,Seattle Mariners,5,Houston Astros,1
07-06-2023,Pittsburgh Pirates,2,Los Angeles Dodgers,5
07-06-2023,St. Louis Cardinals,3,Miami Marlins,0
07-06-2023,Chicago Cubs,5,Milwaukee Brewers,6
07-06-2023,Baltimore Orioles,14,New York Yankees,1
07-06-2023,Philadelphia Phillies,3,Tampa Bay Rays,1
07-06-2023,Cincinnati Reds,5,Washington Nationals,4
07-07-2023,Pittsburgh Pirates,3,Arizona D'Backs,7
07-07-2023,Oakland Athletics,3,Boston Red Sox,7
07-07-2023,St. Louis Cardinals,7,Chicago White Sox,8
07-07-2023,Kansas City Royals,0,Cleveland Guardians,3
07-07-2023,Toronto Blue Jays,12,Detroit Tigers,2
07-07-2023,Seattle Mariners,10,Houston Astros,1
07-07-2023,Los Angeles Angels,4,Los Angeles Dodgers,11
07-07-2023,Philadelphia Phillies,4,Miami Marlins,3
07-07-2023,Cincinnati Reds,3,Milwaukee Brewers,7
07-07-2023,Baltimore Orioles,3,Minnesota Twins,1
07-07-2023,Chicago Cubs,3,New York Yankees,0
07-07-2023,New York Mets,7,San Diego Padres,5
07-07-2023,Colorado Rockies,5,San Francisco Giants,2
07-07-2023,Atlanta Braves,2,Tampa Bay Rays,1
07-07-2023,Texas Rangers,7,Washington Nationals,2
07-08-2023,Pittsburgh Pirates,2,Arizona D'Backs,3
07-08-2023,Oakland Athletics,3,Boston Red Sox,10
07-08-2023,St. Louis Cardinals,3,Chicago White Sox,0
07-08-2023,Kansas City Royals,6,Cleveland Guardians,10
07-08-2023,Toronto Blue Jays,0,Detroit Tigers,2
07-08-2023,Seattle Mariners,2,Houston Astros,3
07-08-2023,Los Angeles Angels,5,Los Angeles Dodgers,10
07-08-2023,Philadelphia Phillies,3,Miami Marlins,5
07-08-2023,Cincinnati Reds,8,Milwaukee Brewers,5
07-08-2023,Baltimore Orioles,6,Minnesota Twins,2
07-08-2023,Chicago Cubs,3,New York Yankees,6
07-08-2023,New York Mets,1,San Diego Padres,3
07-08-2023,Colorado Rockies,3,San Francisco Giants,5
07-08-2023,Atlanta Braves,6,Tampa Bay Rays,1
07-08-2023,Texas Rangers,3,Washington Nationals,8
07-09-2023,Pittsburgh Pirates,4,Arizona D'Backs,2
07-09-2023,Oakland Athletics,3,Boston Red Sox,4
07-09-2023,St. Louis Cardinals,4,Chicago White Sox,3
07-09-2023,Kansas City Royals,4,Cleveland Guardians,1
07-09-2023,Toronto Blue Jays,4,Detroit Tigers,3
07-09-2023,Seattle Mariners,3,Houston Astros,1
07-09-2023,Philadelphia Phillies,3,Miami Marlins,7
07-09-2023,Cincinnati Reds,0,Milwaukee Brewers,1
07-09-2023,Baltimore Orioles,15,Minnesota Twins,2
07-09-2023,Chicago Cubs,7,New York Yankees,4
07-09-2023,New York Mets,2,San Diego Padres,6
07-09-2023,Colorado Rockies,0,San Francisco Giants,1
07-09-2023,Atlanta Braves,4,Tampa Bay Rays,10
07-09-2023,Texas Rangers,2,Washington Nationals,7
07-14-2023,Houston Astros,7,Los Angeles Angels,5
07-14-2023,Chicago White Sox,0,Atlanta Braves,9
07-14-2023,Miami Marlins,2,Baltimore Orioles,5
07-14-2023,Boston Red Sox,8,Chicago Cubs,3
07-14-2023,Milwaukee Brewers,1,Cincinnati Reds,0
07-14-2023,New York Yankees,2,Colorado Rockies,7
07-14-2023,Los Angeles Dodgers,6,New York Mets,0
07-14-2023,Minnesota Twins,5,Oakland Athletics,4
07-14-2023,San Diego Padres,8,Philadelphia Phillies,3
07-14-2023,San Francisco Giants,6,Pittsburgh Pirates,4
07-14-2023,Detroit Tigers,5,Seattle Mariners,4
07-14-2023,Washington Nationals,7,St. Louis Cardinals,5
07-14-2023,Cleveland Guardians,4,Texas Rangers,12
07-14-2023,Arizona D'Backs,2,Toronto Blue Jays,7
07-15-2023,Houston Astros,12,Los Angeles Angels,13
07-15-2023,Chicago White Sox,6,Atlanta Braves,5
07-15-2023,Miami Marlins,5,Baltimore Orioles,6
07-15-2023,Boston Red Sox,4,Chicago Cubs,10
07-15-2023,Milwaukee Brewers,3,Cincinnati Reds,0
07-15-2023,New York Yankees,6,Colorado Rockies,3
07-15-2023,Tampa Bay Rays,6,Kansas City Royals,1
07-15-2023,Tampa Bay Rays,4,Kansas City Royals,2
07-15-2023,Los Angeles Dodgers,5,New York Mets,1
07-15-2023,Minnesota Twins,10,Oakland Athletics,7
07-15-2023,San Diego Padres,4,Philadelphia Phillies,6
07-15-2023,San Diego Padres,4,Philadelphia Phillies,9
07-15-2023,San Francisco Giants,3,Pittsburgh Pirates,1
07-15-2023,Detroit Tigers,6,Seattle Mariners,0
07-15-2023,Washington Nationals,6,St. Louis Cardinals,9
07-15-2023,Cleveland Guardians,0,Texas Rangers,2
07-15-2023,Arizona D'Backs,2,Toronto Blue Jays,5
07-16-2023,Houston Astros,9,Los Angeles Angels,8
07-16-2023,Chicago White Sox,8,Atlanta Braves,1
07-16-2023,Miami Marlins,4,Baltimore Orioles,5
07-16-2023,Boston Red Sox,11,Chicago Cubs,5
07-16-2023,Milwaukee Brewers,4,Cincinnati Reds,3
07-16-2023,New York Yankees,7,Colorado Rockies,8
07-16-2023,Tampa Bay Rays,4,Kansas City Royals,8
07-16-2023,Los Angeles Dodgers,1,New York Mets,2
07-16-2023,Minnesota Twins,5,Oakland Athletics,4
07-16-2023,San Diego Padres,6,Philadelphia Phillies,7
07-16-2023,San Francisco Giants,8,Pittsburgh Pirates,4
07-16-2023,Detroit Tigers,0,Seattle Mariners,2
07-16-2023,Washington Nationals,4,St. Louis Cardinals,8
07-16-2023,Cleveland Guardians,5,Texas Rangers,6
07-16-2023,Arizona D'Backs,5,Toronto Blue Jays,7
07-17-2023,New York Yankees,3,Los Angeles Angels,4
07-17-2023,Los Angeles Dodgers,6,Baltimore Orioles,4
07-17-2023,Washington Nationals,7,Chicago Cubs,5
07-17-2023,San Francisco Giants,4,Cincinnati Reds,2
07-17-2023,Detroit Tigers,3,Kansas City Royals,2
07-17-2023,Boston Red Sox,7,Oakland Athletics,0
07-17-2023,Cleveland Guardians,11,Pittsburgh Pirates,0
07-17-2023,Minnesota Twins,6,Seattle Mariners,7
07-17-2023,Miami Marlins,4,St. Louis Cardinals,6
07-17-2023,Tampa Bay Rays,2,Texas Rangers,3
07-18-2023,New York Yankees,1,Los Angeles Angels,5
07-18-2023,Arizona D'Backs,16,Atlanta Braves,13
07-18-2023,Los Angeles Dodgers,10,Baltimore Orioles,3
07-18-2023,Washington Nationals,3,Chicago Cubs,17
07-18-2023,San Francisco Giants,11,Cincinnati Reds,10
07-18-2023,Houston Astros,3,Colorado Rockies,4
07-18-2023,Detroit Tigers,10,Kansas City Royals,11
07-18-2023,Chicago White Sox,10,New York Mets,11
07-18-2023,Boston Red Sox,0,Oakland Athletics,3
07-18-2023,Milwaukee Brewers,3,Philadelphia Phillies,4
07-18-2023,Cleveland Guardians,10,Pittsburgh Pirates,1
07-18-2023,Minnesota Twins,10,Seattle Mariners,3
07-18-2023,Miami Marlins,2,St. Louis Cardinals,5
07-18-2023,Tampa Bay Rays,3,Texas Rangers,5
07-18-2023,San Diego Padres,9,Toronto Blue Jays,1
07-19-2023,New York Yankees,3,Los Angeles Angels,7
07-19-2023,Arizona D'Backs,5,Atlanta Braves,3
07-19-2023,Los Angeles Dodgers,5,Baltimore Orioles,8
07-19-2023,Washington Nationals,3,Chicago Cubs,8
07-19-2023,San Francisco Giants,2,Cincinnati Reds,3
07-19-2023,Houston Astros,4,Colorado Rockies,1
07-19-2023,Detroit Tigers,3,Kansas City Royals,2
07-19-2023,Chicago White Sox,1,New York Mets,5
07-19-2023,Boston Red Sox,5,Oakland Athletics,6
07-19-2023,Milwaukee Brewers,5,Philadelphia Phillies,3
07-19-2023,Cleveland Guardians,5,Pittsburgh Pirates,7
07-19-2023,Minnesota Twins,6,Seattle Mariners,3
07-19-2023,Miami Marlins,4,St. Louis Cardinals,6
07-19-2023,Tampa Bay Rays,1,Texas Rangers,5
07-19-2023,San Diego Padres,2,Toronto Blue Jays,0
07-20-2023,Arizona D'Backs,5,Atlanta Braves,7
07-20-2023,St. Louis Cardinals,7,Chicago Cubs,2
07-20-2023,San Francisco Giants,1,Cincinnati Reds,5
07-20-2023,Detroit Tigers,3,Kansas City Royals,0
07-20-2023,Chicago White Sox,6,New York Mets,2
07-20-2023,Houston Astros,3,Oakland Athletics,1
07-20-2023,Milwaukee Brewers,4,Philadelphia Phillies,0
07-20-2023,Minnesota Twins,0,Seattle Mariners,5
07-20-2023,Baltimore Orioles,4,Tampa Bay Rays,3
07-20-2023,San Diego Padres,0,Toronto Blue Jays,4
07-21-2023,Pittsburgh Pirates,5,Los Angeles Angels,8
07-21-2023,New York Mets,5,Boston Red Sox,4
07-21-2023,St. Louis Cardinals,3,Chicago Cubs,4
07-21-2023,Arizona D'Backs,6,Cincinnati Reds,9
07-21-2023,Philadelphia Phillies,5,Cleveland Guardians,6
07-21-2023,San Diego Padres,5,Detroit Tigers,4
07-21-2023,Colorado Rockies,6,Miami Marlins,1
07-21-2023,Atlanta Braves,6,Milwaukee Brewers,4
07-21-2023,Chicago White Sox,4,Minnesota Twins,9
07-21-2023,Kansas City Royals,4,New York Yankees,5
07-21-2023,Houston Astros,6,Oakland Athletics,4
07-21-2023,Toronto Blue Jays,2,Seattle Mariners,3
07-21-2023,Baltimore Orioles,0,Tampa Bay Rays,3
07-21-2023,Los Angeles Dodgers,11,Texas Rangers,5
07-21-2023,San Francisco Giants,3,Washington Nationals,5
07-22-2023,Pittsburgh Pirates,3,Los Angeles Angels,0
07-22-2023,New York Mets,6,Boston Red Sox,8
07-22-2023,St. Louis Cardinals,6,Chicago Cubs,8
07-22-2023,Arizona D'Backs,2,Cincinnati Reds,4
07-22-2023,Philadelphia Phillies,0,Cleveland Guardians,1
07-22-2023,San Diego Padres,14,Detroit Tigers,3
07-22-2023,Colorado Rockies,4,Miami Marlins,3
07-22-2023,Atlanta Braves,3,Milwaukee Brewers,4
07-22-2023,Chicago White Sox,2,Minnesota Twins,3
07-22-2023,Kansas City Royals,2,New York Yankees,5
07-22-2023,Houston Astros,1,Oakland Athletics,4
07-22-2023,Toronto Blue Jays,8,Seattle Mariners,9
07-22-2023,Baltimore Orioles,6,Tampa Bay Rays,5
07-22-2023,Los Angeles Dodgers,16,Texas Rangers,3
07-22-2023,San Francisco Giants,1,Washington Nationals,10
07-23-2023,Pittsburgh Pirates,5,Los Angeles Angels,7
07-23-2023,New York Mets,1,Boston Red Sox,6
07-23-2023,St. Louis Cardinals,2,Chicago Cubs,7
07-23-2023,Arizona D'Backs,3,Cincinnati Reds,7
07-23-2023,Philadelphia Phillies,8,Cleveland Guardians,5
07-23-2023,San Diego Padres,1,Detroit Tigers,3
07-23-2023,Colorado Rockies,2,Miami Marlins,3
07-23-2023,Atlanta Braves,4,Milwaukee Brewers,2
07-23-2023,Chicago White Sox,4,Minnesota Twins,5
07-23-2023,Kansas City Royals,5,New York Yankees,8
07-23-2023,Houston Astros,3,Oakland Athletics,2
07-23-2023,Toronto Blue Jays,4,Seattle Mariners,3
07-23-2023,Baltimore Orioles,5,Tampa Bay Rays,3
07-23-2023,Los Angeles Dodgers,4,Texas Rangers,8
07-23-2023,San Francisco Giants,1,Washington Nationals,6
07-24-2023,St. Louis Cardinals,10,Arizona D'Backs,6
07-24-2023,Kansas City Royals,5,Cleveland Guardians,3
07-24-2023,San Francisco Giants,1,Detroit Tigers,5
07-24-2023,Texas Rangers,9,Houston Astros,10
07-24-2023,Toronto Blue Jays,6,Los Angeles Dodgers,3
07-24-2023,Cincinnati Reds,2,Milwaukee Brewers,3
07-24-2023,Seattle Mariners,3,Minnesota Twins,4
07-24-2023,Baltimore Orioles,3,Philadelphia Phillies,2
07-24-2023,Pittsburgh Pirates,8,San Diego Padres,4
07-24-2023,Colorado Rockies,10,Washington Nationals,6
07-25-2023,St. Louis Cardinals,1,Arizona D'Backs,3
07-25-2023,Atlanta Braves,1,Boston Red Sox,7
07-25-2023,Chicago Cubs,7,Chicago White Sox,3
07-25-2023,Kansas City Royals,1,Cleveland Guardians,5
07-25-2023,Los Angeles Angels,7,Detroit Tigers,6
07-25-2023,Texas Rangers,3,Houston Astros,4
07-25-2023,Toronto Blue Jays,7,Los Angeles Dodgers,8
07-25-2023,Cincinnati Reds,4,Milwaukee Brewers,3
07-25-2023,Seattle Mariners,9,Minnesota Twins,7
07-25-2023,New York Mets,9,New York Yankees,3
07-25-2023,Baltimore Orioles,3,Philadelphia Phillies,4
07-25-2023,Pittsburgh Pirates,1,San Diego Padres,5
07-25-2023,Oakland Athletics,1,San Francisco Giants,2
07-25-2023,Miami Marlins,1,Tampa Bay Rays,4
07-25-2023,Colorado Rockies,5,Washington Nationals,6
07-26-2023,St. Louis Cardinals,11,Arizona D'Backs,7
07-26-2023,Atlanta Braves,3,Boston Red Sox,5
07-26-2023,Chicago Cubs,10,Chicago White Sox,7
07-26-2023,Kansas City Royals,3,Cleveland Guardians,8
07-26-2023,Texas Rangers,13,Houston Astros,5
07-26-2023,Toronto Blue Jays,8,Los Angeles Dodgers,1
07-26-2023,Cincinnati Reds,0,Milwaukee Brewers,3
07-26-2023,Seattle Mariners,8,Minnesota Twins,7
07-26-2023,New York Mets,1,New York Yankees,3
07-26-2023,Baltimore Orioles,4,Philadelphia Phillies,6
07-26-2023,Pittsburgh Pirates,3,San Diego Padres,2
07-26-2023,Oakland Athletics,3,San Francisco Giants,8
07-26-2023,Miami Marlins,7,Tampa Bay Rays,1
07-26-2023,Colorado Rockies,4,Washington Nationals,5
07-27-2023,Cleveland Guardians,6,Chicago White Sox,3
07-27-2023,Los Angeles Angels,6,Detroit Tigers,0
07-27-2023,Los Angeles Angels,11,Detroit Tigers,4
